nu_inscricao;co_municipio_residencia;sg_uf_residencia;nu_idade;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;co_municipio_nascimento;sg_uf_nascimento;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;in_baixa_visao;in_cegueira;in_surdez;in_deficiencia_auditiva;in_surdo_cegueira;in_deficiencia_fisica;in_deficiencia_mental;in_deficit_atencao;in_dislexia;in_discalculia;in_autismo;in_visao_monocular;in_outra_def;in_gestante;in_lactante;in_idoso;in_estuda_classe_hospitalar;in_sem_recurso;in_braille;in_ampliada_24;in_ampliada_18;in_ledor;in_acesso;in_transcricao;in_libras;in_leitura_labial;in_mesa_cadeira_rodas;in_mesa_cadeira_separada;in_apoio_perna;in_guia_interprete;in_computador;in_cadeira_especial;in_cadeira_canhoto;in_cadeira_acolchoada;in_prova_deitado;in_mobiliario_obeso;in_lamina_overlay;in_protetor_auricular;in_medidor_glicose;in_maquina_braile;in_soroban;in_marca_passo;in_sonda;in_medicamentos;in_sala_individual;in_sala_especial;in_sala_acompanhante;in_mobiliario_especifico;in_material_especifico;in_nome_social;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tp_lingua;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025;q026;q027
170001669042;4314407;RS;38;F;0;1;1;4314407;RS;1;9;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;B;B;B;B;2 ;C;A;B;B;A;A;B;A;B;A;B;A;A;B;B;A;B;A;A;A;A;B
170001669041;2933307;BA;28;F;0;3;1;2902906;BA;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;433.70;443.10;365.40;479.20;0;1;120.00;100.00;100.00;100.00;20.00;440.00;C;C;C;B;2 ;A;A;B;C;A;B;B;A;B;A;A;A;A;B;B;A;B;A;B;A;B;A
170003333613;4106902;PR;23;F;0;1;1;4108403;PR;1;6;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;D;D;D;B;1 ;C;A;B;C;A;A;B;B;B;B;B;A;A;B;A;A;B;A;A;A;A;A
170001661371;3550308;SP;27;F;1;3;1;3550308;SP;1;3;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;E;E;B;C;4 ;C;A;B;C;A;B;B;B;B;A;B;A;A;B;B;A;C;A;B;B;A;A
170001661372;4218707;SC;22;M;0;1;1;4218707;SC;1;5;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;487.70;499.50;516.00;439.80;0;1;160.00;120.00;140.00;160.00;80.00;660.00;C;E;F;B;4 ;F;A;B;D;A;B;B;B;B;A;B;A;A;C;B;A;C;B;C;B;A;A
170001669044;3550308;SP;24;F;1;3;1;3550308;SP;1;7;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;532.90;578.20;551.50;589.50;1;1;160.00;120.00;120.00;140.00;120.00;660.00;B;E;B;B;5 ;G;A;B;C;B;A;B;B;B;A;B;A;A;C;B;A;D;A;B;B;A;A
170001661370;3548708;SP;18;F;0;3;1;3204005;ES;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;604.60;617.60;395.40;604.90;0;1;160.00;200.00;160.00;180.00;200.00;900.00;E;E;D;B;4 ;C;A;C;D;A;A;B;B;B;A;B;A;A;C;B;A;D;B;B;B;A;A
170001661373;2302503;CE;17;F;0;3;1;2302503;CE;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;595.80;589.00;556.50;546.60;0;1;160.00;160.00;160.00;160.00;140.00;780.00;F;E;B;B;7 ;C;A;B;B;B;A;B;A;A;A;A;A;A;B;B;A;C;A;B;A;B;A
170001661374;3509502;SP;25;M;0;2;2;;;1;7;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;502.30;501.00;500.20;584.90;0;1;140.00;120.00;120.00;120.00;60.00;560.00;B;B;A;D;3 ;D;A;C;D;C;A;B;A;B;A;B;A;A;B;A;A;C;B;B;B;A;C
170001661375;2111300;MA;34;M;1;2;1;2111300;MA;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;584.90;586.20;546.00;558.40;1;6;0.00;0.00;0.00;0.00;0.00;0.00;A;E;C;B;9 ;B;A;B;D;A;A;B;A;A;A;B;A;A;C;B;A;E;A;B;B;A;A
170001661376;2208007;PI;19;M;0;1;1;2208007;PI;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;420.70;506.90;473.60;487.90;0;1;140.00;120.00;100.00;80.00;100.00;540.00;C;E;B;F;5 ;C;A;C;D;A;A;B;B;B;A;A;A;A;B;B;A;E;A;B;B;B;A
170001661377;5300108;DF;19;F;0;3;1;5300108;DF;1;2;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;612.60;656.00;588.70;527.10;1;1;160.00;140.00;120.00;160.00;100.00;680.00;F;D;D;B;4 ;C;A;D;D;C;A;B;B;B;A;B;A;A;C;B;B;E;B;E;B;A;A
170001661379;3305109;RJ;25;F;0;2;1;2111201;MA;1;7;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;420.30;570.20;564.70;485.80;0;1;160.00;140.00;120.00;120.00;100.00;640.00;H;E;F;B;3 ;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;B;B;A;A;A
170001661381;2412005;RN;24;F;0;3;1;2408102;RN;1;7;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;414.00;504.20;501.10;445.30;1;1;120.00;120.00;120.00;120.00;100.00;580.00;A;A;B;B;3 ;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;B;A;B;A;A;A
170001661382;2304400;CE;33;F;;1;1;2304400;CE;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;519.50;554.60;;1;1;120.00;120.00;100.00;120.00;100.00;560.00;D;F;C;D;4 ;B;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;C;A;B;B;A;A
170005058103;3534401;SP;17;M;0;3;1;3534401;SP;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;D;D;B;B;2 ;D;A;C;C;A;A;B;B;B;A;B;A;A;C;B;A;B;B;B;B;B;A
170001661384;2927408;BA;28;F;0;2;1;2927408;BA;1;8;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;542.20;473.80;505.50;377.50;0;1;120.00;120.00;120.00;140.00;20.00;520.00;E;E;B;B;3 ;B;A;B;C;A;A;B;A;A;A;A;A;B;B;B;A;D;A;B;B;A;A
170005058102;2304459;CE;34;M;1;3;1;2301109;CE;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;603.00;648.80;562.10;593.70;1;1;120.00;120.00;100.00;120.00;0.00;460.00;D;A;B;A;3 ;C;A;C;C;A;B;B;A;A;A;B;A;A;B;A;A;C;A;B;A;A;A
170001661383;3523107;SP;28;M;0;1;2;;;1;10;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;A;A;B;B;2 ;D;A;B;B;B;A;B;A;B;B;A;A;A;B;A;A;B;A;A;A;A;A
170005058101;3541000;SP;23;M;1;1;1;3548500;SP;1;5;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;E;E;C;B;2 ;E;A;B;B;A;B;B;B;B;A;B;A;B;B;B;A;C;B;B;B;A;A
170005058104;3106200;MG;23;F;0;1;1;3106200;MG;1;5;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;;;;;;;B;B;F;B;2 ;C;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B;A;A
170005058105;3504107;SP;20;F;0;1;1;3504107;SP;1;3;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;422.10;557.60;526.90;525.30;0;1;120.00;120.00;100.00;120.00;20.00;480.00;E;F;D;D;6 ;H;A;C;C;B;A;B;A;B;A;B;A;A;C;A;A;D;B;B;B;A;A
170003339953;5201405;GO;30;M;0;2;1;5208707;GO;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;;;;;F;D;B;B;3 ;E;A;B;C;A;B;B;A;B;A;B;A;A;C;B;A;C;A;A;A;A;A
170003346080;2927408;BA;31;F;0;3;1;2927408;BA;1;11;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;527.70;589.50;549.40;536.00;1;1;120.00;140.00;120.00;80.00;60.00;520.00;C;E;C;B;1 ;C;A;C;C;A;A;B;A;A;A;B;A;A;B;A;B;B;A;B;B;A;A
