o0
Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.036115	0	54888
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.103864	0	1466
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.110475	0	3943
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.114675	0	2017
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.122127	0	8302
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.129855	0	282
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164185	0	6061
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.165778	0	8671
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.186971	0	85
4	RANSACRegressor(base_estimator=None, is_data_v...	2.187528	0	1571
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.189611	0	47
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.203693	0	93
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.204439	0	366
6	SGDRegressor(alpha=1e-06, average=False, early...	2.208376	0	689
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.229803	0	2278
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.260717	0	10840
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.441598	0	40
3	Perceptron(alpha=1e-06, class_weight=None, ear...	2.815708	0	402
10	GaussianNB(priors=None, var_smoothing=0.1)	5.796873	0	139

o1e
Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.028076	0	28134
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.031172	0	15765
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.103864	0	625
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.110475	0	2405
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.114675	0	1954
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.122127	0	4931
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.129855	0	265
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164185	0	5830
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.165778	0	8507
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.186971	0	90
4	RANSACRegressor(base_estimator=None, is_data_v...	2.187528	0	2135
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.189611	0	32
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.203693	0	120
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.204439	0	474
6	SGDRegressor(alpha=1e-06, average=False, early...	2.208376	0	769
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.229803	0	2179
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.260717	0	6857
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.441598	0	42
3	Perceptron(alpha=1e-06, class_weight=None, ear...	2.815708	0	450
10	GaussianNB(priors=None, var_smoothing=0.1)	5.796873	0	83

o2
Model	Score	Std Dev	Time (ms)
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.049969	0	11614
13	MLPRegressor(activation='logistic', alpha=0.00...	2.079807	0	25181
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.103320	0	1939
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.117998	0	1217
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.118885	0	4757
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.130334	0	2548
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.142112	0	317
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164113	0	5694
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.166424	0	115
4	RANSACRegressor(base_estimator=None, is_data_v...	2.184818	0	1603
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.195461	0	35
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.203241	0	8308
6	SGDRegressor(alpha=1e-06, average=False, early...	2.204409	0	809
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.211820	0	87
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.212702	0	97
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.231361	0	2129
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.295911	0	6867
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.457716	0	48
3	Perceptron(alpha=1e-06, class_weight=None, ear...	3.651254	0	344
10	GaussianNB(priors=None, var_smoothing=0.1)	5.527520	0	460

o3
	Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.038288	0	28654
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.115269	0	4636
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.120169	0	1113
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.121354	0	1921
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.139615	0	2544
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.144486	0	11833
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.152416	0	280
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.166104	0	6008
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.178667	0	8219
4	RANSACRegressor(base_estimator=None, is_data_v...	2.189011	0	1354
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.197052	0	46
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.211287	0	50
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.213660	0	40
6	SGDRegressor(alpha=1e-06, average=False, early...	2.227305	0	631
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.227677	0	2055
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.290026	0	7040
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.344301	0	87
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.459732	0	56
3	Perceptron(alpha=1e-06, class_weight=None, ear...	3.929749	0	306
10	GaussianNB(priors=None, var_smoothing=0.1)	5.527131	0	339

o4
Model	Score	Std Dev	Time (ms)
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.100431	0	11405
13	MLPRegressor(activation='logistic', alpha=0.00...	2.121164	0	26135
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.125713	0	2420
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.129603	0	1921
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.132220	0	4868
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.132627	0	1109
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.142488	0	282
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.159512	0	5703
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.173957	0	92
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.205196	0	22
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.206009	0	8118
4	RANSACRegressor(base_estimator=None, is_data_v...	2.206067	0	1221
6	SGDRegressor(alpha=1e-06, average=False, early...	2.213474	0	748
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.230651	0	2060
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.233221	0	71
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.233362	0	93
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.264931	0	6860
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.416593	0	39
3	Perceptron(alpha=1e-06, class_weight=None, ear...	2.915045	0	357
10	GaussianNB(priors=None, var_smoothing=0.1)	5.252559	0	311

o5
Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.043742	0	25181
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.092185	0	1904
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.124492	0	1180
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.131921	0	2427
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.138136	0	4637
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.145334	0	317
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164444	0	5500
4	RANSACRegressor(base_estimator=None, is_data_v...	2.187220	0	1736
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.189514	0	8019
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.195036	0	61
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.200969	0	47
6	SGDRegressor(alpha=1e-06, average=False, early...	2.213222	0	732
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.218917	0	56
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.219169	0	75
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.223518	0	2098
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.243322	0	11027
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.285010	0	6965
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.440601	0	38
3	Perceptron(alpha=1e-06, class_weight=None, ear...	3.678774	0	356
10	GaussianNB(priors=None, var_smoothing=0.1)	4.788416	0	128

o6
	Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.032371	0	27697
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.067069	0	10901
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.111098	0	1150
14	(DecisionTreeRegressor(criterion='mse', max_de...	2.127449	0	2444
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.132083	0	330
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.136612	0	5867
15	([DecisionTreeRegressor(criterion='friedman_ms...	2.138962	0	1958
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.161255	0	5403
4	RANSACRegressor(base_estimator=None, is_data_v...	2.186888	0	1259
5	Ridge(alpha=0.1, copy_X=True, fit_intercept=Fa...	2.190400	0	25
18	(DecisionTreeRegressor(criterion='mse', max_de...	2.194917	0	8137
0	LinearRegression(copy_X=True, fit_intercept=Tr...	2.206032	0	56
1	OrthogonalMatchingPursuit(fit_intercept=True, ...	2.206294	0	122
2	PassiveAggressiveRegressor(C=0.1, average=Fals...	2.216198	0	82
6	SGDRegressor(alpha=1e-06, average=False, early...	2.217636	0	671
12	SVR(C=1.0, cache_size=200, coef0=0.0, degree=3...	2.227750	0	2046
17	(DecisionTreeRegressor(criterion='mse', max_de...	2.228242	0	8140
7	DecisionTreeRegressor(criterion='mse', max_dep...	2.426995	0	37
3	Perceptron(alpha=1e-06, class_weight=None, ear...	2.764637	0	335
10	GaussianNB(priors=None, var_smoothing=0.1)	5.746749	0	358

o7
Model	Score	Std Dev	Time (ms)
13	MLPRegressor(activation='logistic', alpha=0.00...	2.106679	0	25983
8	GaussianProcessRegressor(alpha=0.01, copy_X_tr...	2.131597	0	10988
19	XGBRegressor(base_score=0.5, booster='gbtree',...	2.136251	0	1173
16	(ExtraTreeRegressor(criterion='mse', max_depth...	2.143656	0	4788
11	KNeighborsRegressor(algorithm='auto', leaf_siz...	2.149727	0	326
9	KernelRidge(alpha=1, coef0=1, degree=3, gamma=...	2.164702	0	5345
